14:27:40 POST: /api/user/login user-agent: PostmanRuntime/7.26.10
14:37:20 GET: /api/books user-agent: PostmanRuntime/7.26.10
14:37:44 POST: /api/books user-agent: PostmanRuntime/7.26.10
14:38:40 POST: /api/books user-agent: PostmanRuntime/7.26.10
14:38:50 GET: /api/books user-agent: PostmanRuntime/7.26.10
14:39:53 GET: /api/books user-agent: PostmanRuntime/7.26.10
14:40:3 GET: /api/books user-agent: PostmanRuntime/7.26.10
14:40:23 POST: /api/books user-agent: PostmanRuntime/7.26.10
14:40:44 GET: /api/books user-agent: PostmanRuntime/7.26.10
14:41:7 PUT: /api/books/1613907623637333045700f170e25f user-agent: PostmanRuntime/7.26.10
14:41:23 PUT: /api/books/1613907623637333045700f170e25f user-agent: PostmanRuntime/7.26.10
14:41:52 GET: /api/books/1613907623637333045700f170e25f/download user-agent: PostmanRuntime/7.26.10
14:42:2 DELETE: /api/books/1613907623637333045700f170e25f user-agent: PostmanRuntime/7.26.10
22:8:32 GET: /books user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
22:8:34 POST: /books/delete/id2 user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
22:8:34 GET: /books user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
22:8:37 POST: /books/delete/id user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
22:8:37 GET: /books user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
22:8:40 GET: /books/create user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
22:8:47 POST: /books/create user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
22:8:47 GET: /books user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
22:8:49 GET: /books/update/161419372729313324930041aac553 user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:39:45 GET: / user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:39:49 GET: /books user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:39:49 GET: /favicon.ico user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:39:49 GET: /favicon.ico user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:40:33 GET: /api/books user-agent: PostmanRuntime/7.26.10
20:42:52 GET: /books/view/id user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:42:59 GET: /books user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:43:1 GET: / user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:43:2 GET: /books user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:44:0 GET: /books/view/id user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:44:31 GET: /books user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
20:44:32 GET: /books/view/id2 user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
21:42:5 GET: /books/view/id2 user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
21:43:11 GET: /books/view/id2 user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
21:43:14 GET: /books/id2/download? user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
21:43:20 GET: /books/id2/download? user-agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36
